TRANSCATION_ID;ACCOUNT_ID;TRANSCATION_DATE;TRANSCATION_AMOUNT;YEAR;TRANSCATION_AMOUNT_YEAR_SUM
T00001;A00866;15/12/2013;37615;2013;15557650
T00002;A00106;21/08/2018;9212;2018;77495196
T00003;A00233;25/12/2020;62526;2020;76208785
T00004;A00848;01/10/2021;90070;2021;71973924
T00005;A00404;06/09/2018;80153;2018;77495196
T00006;A00454;21/06/2016;83494;2016;78279164
T00007;A00209;01/02/2019;38459;2019;76300877
T00008;A00073;16/12/2022;18833;2022;73969670
T00009;A00435;21/06/2023;68093;2023;51646874
T00010;A00138;31/10/2013;40054;2013;15557650
T00011;A00431;27/09/2015;67999;2015;75418969
T00012;A00503;20/03/2020;2954;2020;76208785
T00013;A00602;11/02/2016;79523;2016;78279164
T00014;A00654;12/03/2019;22836;2019;76300877
T00015;A00522;27/01/2021;98807;2021;71973924
T00016;A00141;30/11/2018;16137;2018;77495196
T00017;A00020;25/02/2020;13178;2020;76208785
T00018;A00039;03/09/2020;62300;2020;76208785
T00019;A00936;20/07/2022;79008;2022;73969670
T00020;A00985;12/11/2020;79844;2020;76208785
T00021;A00554;26/07/2016;47680;2016;78279164
T00022;A00435;24/06/2022;96755;2022;73969670
T00023;A00641;28/11/2020;77031;2020;76208785
T00024;A00351;13/03/2016;13215;2016;78279164
T00025;A00324;19/02/2018;85743;2018;77495196
T00026;A00602;02/11/2016;15343;2016;78279164
T00027;A00653;09/09/2017;17366;2017;75243074
T00028;A00071;16/08/2022;54493;2022;73969670
T00029;A00118;02/05/2021;68698;2021;71973924
T00030;A00797;11/05/2016;62443;2016;78279164
T00031;A00214;19/05/2015;22676;2015;75418969
T00032;A00572;18/05/2016;77451;2016;78279164
T00033;A00557;23/09/2018;31990;2018;77495196
T00034;A00441;14/08/2018;10477;2018;77495196
T00035;A00655;17/04/2014;975;2014;76372639
T00036;A00503;02/12/2013;68811;2013;15557650
T00037;A00720;21/12/2014;98904;2014;76372639
T00038;A00651;30/10/2015;81315;2015;75418969
T00039;A00614;22/11/2020;97602;2020;76208785
T00040;A00408;19/07/2019;34129;2019;76300877
T00041;A00777;27/07/2021;8959;2021;71973924
T00042;A00061;20/12/2017;81527;2017;75243074
T00043;A00917;01/06/2019;54999;2019;76300877
T00044;A00010;18/10/2016;71553;2016;78279164
T00045;A00642;30/05/2014;69827;2014;76372639
T00046;A00188;21/05/2015;27651;2015;75418969
T00047;A00215;29/12/2020;8789;2020;76208785
T00048;A00685;27/02/2017;6786;2017;75243074
T00049;A00918;18/03/2017;84895;2017;75243074
T00050;A00588;13/05/2018;43257;2018;77495196
T00051;A00909;21/07/2015;38413;2015;75418969
T00052;A00908;22/04/2021;73747;2021;71973924
T00053;A00625;23/07/2017;27466;2017;75243074
T00054;A00240;03/08/2021;27991;2021;71973924
T00055;A00036;06/09/2022;52431;2022;73969670
T00056;A00714;10/03/2022;31092;2022;73969670
T00057;A00273;18/04/2018;18168;2018;77495196
T00058;A00789;31/10/2019;73265;2019;76300877
T00059;A00538;29/02/2020;85390;2020;76208785
T00060;A00481;07/04/2016;70490;2016;78279164
T00061;A00427;06/09/2019;73411;2019;76300877
T00062;A00443;26/06/2016;58359;2016;78279164
T00063;A00077;23/03/2020;41843;2020;76208785
T00064;A00825;05/04/2023;44716;2023;51646874
T00065;A00479;06/02/2018;54011;2018;77495196
T00066;A00864;18/05/2021;2460;2021;71973924
T00067;A00381;27/08/2021;10623;2021;71973924
T00068;A00296;20/03/2016;77426;2016;78279164
T00069;A00367;14/07/2016;6561;2016;78279164
T00070;A00807;10/01/2014;24799;2014;76372639
T00071;A00165;23/12/2021;89377;2021;71973924
T00072;A00988;28/03/2018;27390;2018;77495196
T00073;A00902;04/06/2016;95538;2016;78279164
T00074;A00216;11/10/2014;82413;2014;76372639
T00075;A00420;26/03/2015;31639;2015;75418969
T00076;A00756;13/08/2016;33377;2016;78279164
T00077;A00118;16/11/2014;70043;2014;76372639
T00078;A00064;10/05/2023;91381;2023;51646874
T00079;A00549;06/09/2018;39511;2018;77495196
T00080;A00302;10/02/2014;64304;2014;76372639
